Symbol,Capt,Tdate,Ttime,PerfDay,Volume,VolumeAvg3m
HPQ,24220000000,7/20/2016,4:03 PM,0.78%,15686528,12256600
HUM,23610000000,7/20/2016,4:01 PM,3.28%,3829913,1680160
HBAN,7360000000,7/20/2016,4:00 PM,-0.32%,8169793,11229400
ITW,41050000000,7/20/2016,4:03 PM,2.80%,2885616,1530170
ILMN,22460000000,7/20/2016,4:00 PM,2.63%,933415,1281480
IR,17390000000,7/20/2016,4:00 PM,0.63%,984093,1797200
INTC,1.69E+11,7/20/2016,4:00 PM,1.54%,40229441,22719600
ICE,30220000000,7/20/2016,4:02 PM,-0.56%,602724,761821
IBM,1.55E+11,7/20/2016,4:03 PM,1.12%,4274695,3687460
IP,18510000000,7/20/2016,4:03 PM,0.09%,2406541,3000870
IPG,9750000000,7/20/2016,4:03 PM,1.59%,4520288,4333760
IFF,10680000000,7/20/2016,4:02 PM,1.06%,318895,560556
INTU,29370000000,7/20/2016,4:00 PM,0.01%,1550003,1444770
ISRG,26760000000,7/20/2016,4:00 PM,4.64%,1153198,301940
IVZ,11690000000,7/20/2016,4:03 PM,1.49%,3928728,4720170
IRM,8520000000,7/20/2016,4:02 PM,0.50%,896290,2617280
JBHT,9190000000,7/20/2016,4:00 PM,0.93%,1318854,765238
JEC,6500000000,7/20/2016,4:02 PM,1.58%,587141,996913
JNJ,3.44E+11,7/20/2016,4:00 PM,-0.09%,7264280,7160100
JCI,28740000000,7/20/2016,4:02 PM,0.29%,3531145,4721010
JPM,2.32E+11,7/20/2016,4:00 PM,0.11%,10071340,15754100
JNPR,9030000000,7/20/2016,4:00 PM,0.47%,2902246,3609780
KSU,10610000000,7/20/2016,4:02 PM,0.83%,2278457,1393840
K,28790000000,7/20/2016,4:01 PM,-5.43%,8246285,2417820
KEY,9960000000,7/20/2016,4:01 PM,0.85%,9359992,13479600
KMB,48140000000,7/20/2016,4:01 PM,-1.10%,1979412,1775160
KIM,13160000000,7/20/2016,4:01 PM,-0.10%,1543073,2912780
KMI,49300000000,7/20/2016,4:00 PM,0.68%,26801939,16552300
KLAC,11940000000,7/20/2016,4:00 PM,0.95%,585966,1021130
KSS,7270000000,7/20/2016,4:02 PM,1.57%,1831624,3829110
KHC,1.07E+11,7/20/2016,4:00 PM,-0.90%,2194293,3212310
KR,34540000000,7/20/2016,4:00 PM,0.52%,4100397,8300110
LB,20320000000,7/20/2016,4:02 PM,0.54%,1559270,3238370
LLL,11490000000,7/20/2016,4:02 PM,-0.15%,217812,647652
LH,14140000000,7/20/2016,4:02 PM,0.96%,1130565,943910
LRCX,14560000000,7/20/2016,4:00 PM,1.91%,2527133,2558400
LM,3480000000,7/20/2016,4:02 PM,0.73%,719459,1673170
LEG,7190000000,7/20/2016,4:01 PM,0.54%,455089,746730
LEN,10730000000,7/20/2016,4:02 PM,0.62%,1591540,2349470
LUK,6530000000,7/20/2016,4:02 PM,0.61%,984709,1909550
LVLT,20470000000,7/20/2016,4:02 PM,1.19%,2339124,1909540
LLY,85090000000,7/20/2016,4:03 PM,0.39%,2807601,4190880
LNC,10380000000,7/20/2016,4:02 PM,0.28%,1617532,2679310
LLTC,11630000000,7/20/2016,4:00 PM,0.64%,1970184,2006410
LKQ,10090000000,7/20/2016,4:00 PM,1.11%,850786,3114660
LMT,78140000000,7/20/2016,4:02 PM,-0.88%,3360703,1526070
L,13960000000,7/20/2016,4:02 PM,-0.12%,418391,882579
LOW,71960000000,7/20/2016,4:02 PM,-0.26%,6785523,4863260
LYB,33920000000,7/20/2016,4:02 PM,0.94%,2028213,3402020
MTB,18100000000,7/20/2016,4:00 PM,-4.14%,2109985,820924
MAC,13240000000,7/20/2016,4:02 PM,0.13%,346956,1040540
M,10890000000,7/20/2016,4:02 PM,1.23%,3000396,7203260
