Exchange,Symbol,Name,Sector,Industry,Headquarters,Latitude,Longitude
,BMW3,BMW AG NVTG PRF,Consumer Discretionary,,Germany,51.165691,10.451526
,ADN,ABERDEEN ASSET MANAGEMENT PLC,Financials,,United Kingdom,55.378051,-3.435973
,SDR,SCHRODERS PLC,Financials,,United Kingdom,55.378051,-3.435973
,DIA,DISTRIBUIDORA INTERNACIONAL DE ALI,Consumer Staples,,Spain,40.463667,-3.74922
,COB,COBHAM PLC,Industrials,,United Kingdom,55.378051,-3.435973
,SCHN,SCHINDLER HOLDING AG,Industrials,,Switzerland,46.818188,8.227512
,VOE,VOESTALPINE AG,Materials,,Austria,47.516231,14.550072
,OMV,OMV AG,Energy,,Austria,47.516231,14.550072
,ALO,ALSTOM SA,Industrials,,France,46.227638,2.213749
,GFS,G4S PLC,Industrials,,United Kingdom,55.378051,-3.435973
,EDF,EDF SA,Utilities,,France,46.227638,2.213749
,MAN,MAN SE,Industrials,,Germany,51.165691,10.451526
,IMI,IMI PLC,Industrials,,United Kingdom,55.378051,-3.435973
,COLR,COLRUYT SA,Consumer Staples,,Belgium,50.503887,4.469936
,WMH,WILLIAM HILL PLC,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,NRE1V,NOKIAN RENKAAT OYJ,Consumer Discretionary,,Finland,61.92411,25.748151
,MEO1V,METSO,Industrials,,Finland,61.92411,25.748151
,EZJ,EASYJET PLC,Industrials,,United Kingdom,55.378051,-3.435973
,CO,CASINO GUICHARD PERRACHON SA,Consumer Staples,,France,46.227638,2.213749
,BKIA,BANKIA SA,Financials,,Spain,40.463667,-3.74922
,UBM,UNITED BUSINESS MEDIA PLC,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,STM,STMICROELECTRONICS NV,Information Technology,,France,46.227638,2.213749
,MIC SDB,MILLICOM INTERNATIONAL CELLULAR SD,Telecommunication Services,,Sweden,60.128161,18.643501
,UHRN,SWATCH GROUP SA,Consumer Discretionary,,Switzerland,46.818188,8.227512
,SPM,SAIPEM,Energy,,Italy,41.87194,12.56738
,MMB,LAGARDERE,Consumer Discretionary,,France,46.227638,2.213749
,UBI,UNIONE DI BANCHE ITALIANE,Financials,,Italy,41.87194,12.56738
