Exchange,Symbol,Name,Sector,Industry,Headquarters,Latitude,Longitude
,FB,Facebook,Information Technology,Internet Software & Services,"Menlo Park, California",37.4529598,-122.1817252
,FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",44.0553908,-91.6663523
,FRT,Federal Realty Investment Trust,Financials,Retail REITs,"Rockville, Maryland",39.0839973,-77.1527578
,FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",35.1495343,-90.0489801
,FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,"Jacksonville, Florida",30.3321838,-81.65565099999999
,FITB,Fifth Third Bancorp,Financials,Banks,"Cincinnati, Ohio",39.1031182,-84.5120196
,FSLR,First Solar Inc,Information Technology,Semiconductors,"Tempe, Arizona",33.4255104,-111.9400054
,FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",41.0814447,-81.51900529999999
,FISV,Fiserv Inc,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",43.0605671,-88.1064787
,FLIR,FLIR Systems,Industrials,Aerospace & Defense,"Wilsonville, Oregon",45.2998418,-122.7737062
,FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",32.8140177,-96.9488945
,FLR,Fluor Corp.,Industrials,Diversified Commercial Services,"Irving, Texas",32.8140177,-96.9488945
,FMC,FMC Corporation,Materials,Diversified Chemicals,"Philadelphia, Pennsylvania",39.9525839,-75.1652215
,FTI,FMC Technologies Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",29.7604267,-95.3698028
,FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail,"New York, New York",40.7127837,-74.0059413
,F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",42.3222599,-83.17631449999999
,FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",47.9789848,-122.2020794
,FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",42.1711365,-87.8445119
,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",37.5629917,-122.3255254
,FCX,Freeport-McMoran Cp & Gld,Materials,Diversified Metals & Mining,"Phoenix, Arizona",33.4483771,-112.0740373
,FTR,Frontier Communications,Telecommunication Services,Integrated Telecommunications Services,"Stamford, Connecticut",41.0534302,-73.5387341
,GPS,Gap (The),Consumer Discretionary,Apparel Retail,"San Francisco, California",37.7749295,-122.4194155
,GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",47.6958897,8.6380488
,GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",38.88233400000001,-77.1710914
,GE,General Electric,Industrials,Industrial Conglomerates,"Fairfield, Connecticut",41.1408363,-73.2612615
,GGP,General Growth Properties Inc.,Financials,REITs,"Chicago, Illinois",41.8781136,-87.6297982
,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",44.9917149,-93.3600034
,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",42.331427,-83.0457538
,GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",33.7489954,-84.3879824
,GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",37.5585465,-122.2710788
,GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",33.7489954,-84.3879824
,GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",40.7127837,-74.0059413
,GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",41.0814447,-81.51900529999999
,GWW,Grainger (W.W.) Inc.,Industrials,Industrial Materials,"Lake Forest, Illinois",42.2586342,-87.840625
,HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",29.7604267,-95.3698028
,HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",36.09985959999999,-80.244216
,HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",43.0389025,-87.9064736
,HAR,Harman Int'l Industries,Consumer Discretionary,Consumer Electronics,"Stamford, Connecticut",41.0534302,-73.5387341
,HRS,Harris Corporation,Information Technology,Telecommunications Equipment,"Melbourne, Florida",28.0836269,-80.60810889999999
,HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",41.76371109999999,-72.6850932
,HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",41.878711,-71.38255579999999
,HCA,HCA Holdings,Health Care,Health Care Facilities,"Nashville, Tennessee",36.1626638,-86.7816016
,HCP,HCP Inc.,Financials,REITs,"Long Beach, California",33.7700504,-118.1937395
,HP,Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",35.8506265,-95.3215769
,HSIC,Henry Schein,Health Care,Health Care Distributors & Services,"Melville, New York",40.7934322,-73.41512139999999
,HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",40.7127837,-74.0059413
,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",37.4418834,-122.1430195
,HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",42.3459271,-71.5522874
,HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",33.7489954,-84.3879824
,HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",40.79676670000001,-74.4815438
,HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",43.6666296,-92.97463669999999
,HST,Host Hotels & Resorts,Financials,REITs,"Bethesda, Maryland",38.984652,-77.0947092
,HPQ,HP Inc.,Information Technology,Computer Hardware,"Palo Alto, California",37.4418834,-122.1430195
,HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",38.2526647,-85.7584557
,HBAN,Huntington Bancshares,Financials,Banks,"Columbus, Ohio",39.9611755,-82.99879419999999
,ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",42.0697509,-87.7878408
,ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California",32.715738,-117.1610838
,IR,Ingersoll-Rand PLC,Industrials,Industrial Conglomerates,"Dublin, Ireland",53.3498053,-6.2603097
,INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",37.3541079,-121.9552356
,ICE,Intercontinental Exchange,Financials,Diversified Financial Services,"Atlanta, Georgia",33.7489954,-84.3879824
,IBM,International Bus. Machines,Information Technology,IT Consulting & Services,"Armonk, New York",41.1264849,-73.71401949999999
,IP,International Paper,Materials,Paper Products,"Memphis, Tennessee",35.1495343,-90.0489801
,IPG,Interpublic Group,Consumer Discretionary,Advertising,"New York, New York",40.7127837,-74.0059413
,IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York",40.7127837,-74.0059413
